Road,Road_encoded
Lighthouse Avenue,4504
Emerson Street,2913
Thornhill Drive,8077
10th Street,7
Meder Road,4966
North Imperial Avenue,5573
Claremont Place,1674
Kidder Avenue,4180
1st Street,41
North Fuller Avenue,5539
McKinley Avenue,4931
22nd Street West,51
Lincoln Circle,4521
Farna Avenue,3048
Tammany Circle,7990
North Madden Street,5605
North Oakland Avenue,5642
Cherokee Lane,1590
Shady Creek Lane,7158
Capistrano Avenue,1397
Williamston Street,9041
1st Street,41
Trinity Street,8184
Lower Azusa Road,4682
Nicolet Lane,5378
Meadowbrook Avenue,4951
Valencia Street,8282
Alley n/o Olive Avenue,287
Kenneth Street,4163
West Roderick Avenue,8892
Brennans Road,1038
Odessa Avenue,5848
47th Avenue,96
East 67th Street,2358
Ambar,341
Nectarine Street,5333
Osage Street,5968
Excelsior Avenue,2989
Springbrook North,7733
1st Street,41
Ramona Expressway,6486
Racquet Club Circle,6458
Dalerose Avenue,2038
Road 228,6684
Fremont Street,3234
1st Street,41
Rowland Drive,6810
1st Street,41
Miramar Street,5110
Zephyr Circle,9206
Longridge Road,4620
11th Street,10
East Beverly Boulevard,2419
Fairmont Drive,3009
Esplanade,2953
Gambier Street,3275
East Cambridge Avenue,2440
West San Carlos Street,8902
Caliente Drive,1248
Sylvan Boulevard,7962
N Street,5305
Littleton Place,4554
Woodbridge Road,9117
Mignon Drive,5050
Harwood Street,3638
San Feliciano Drive,6932
Squaw Creek Road,7750
East 20th Street,2335
Quill Drive,6451
Bernhard Avenue,821
West 247th Place,8615
4th Street,102
Filbert Street,3101
Newhall Park Trail,5367
Graffian Street,3442
East Byrd Avenue,2435
United Road,8254
North V Street,5726
North Dunn Street,5509
Leffingwell Road,4452
Tonino Drive,8120
Avenida Victoria,559
1st Street,41
Grand Avenue,3451
East Ryals Lane,2696
Walnut Avenue,8516
Heather Avenue,3671
Ward Avenue,8528
Meyers Ranch Trail,5027
Harvey Avenue,3636
Bee Rock Road,767
Mayland Avenue,4892
1st Street,41
Fremont Boulevard,3233
Bell Estates Drive,781
South Mac Donough Avenue,7538
Bailey Drive,633
1st Street,41
Summit Canyon Drive,7874
Mariposa Avenue,4822
North Sabina Street,5687
Cedar Drive,1506
International Boulevard,3952
Camino Santa Barbara,1346
South Carondelet Street,7414
East 66th Street,2357
Hamilton Avenue,3576
Knott Street,4223
Diablo Drive,2179
Table Bluff Road,7967
Lower Clamshell Truck Trail,4683
Imperial Avenue,3918
Avenida Simi,558
Pennsylvania Avenue,6182
Fillmore Drive,3105
Adele Avenue,190
Rivoli,6667
Crawford Court,1947
San Leandro Street,6957
Jamacha Boulevard,4003
Avenue 18,571
South Mary Avenue,7547
North La Reina Street,5580
Oak Street,5799
Saint Helen Way,6881
West Lomita Avenue,8819
Arastradero Road,424
Central Boulevard,1528
East Fiesta - Garden Alley,2501
Cole Street,1758
Davis Street,2076
West 135th Street,8596
North Sweetzer Avenue,5717
Margate Circle,4804
Carmel River Trail,1420
Edgewater Terrace,2785
Mc Laren Street,4902
North Moorpark Road,5628
North Pine Avenue,5663
Campillos Road,1359
Airport Boulevard,212
Chestnut Place,1607
Glorietta Boulevard,3396
Downing Avenue,2261
East Hillsdale Boulevard,2545
Lake Ashmere Drive,4323
Douglas Way,2253
La Mirada Drive,4273
Rose Street,6783
Park Street,6077
Buena Vista Avenue East,1135
Costanza Drive,1876
Louise Avenue,4675
25 Hill Road,56
Morella Avenue,5199
Hunter Ranch Road,3873
Ramona Drive,6485
Dodson Street,2208
Golden State Freeway,3413
Low Chaparral Drive,4679
Norris Avenue,5422
South Ridge Drive,7603
Long Beach Freeway,4615
Hyacinth Way,3892
145th Street,20
159th Avenue,25
East Cambridge Avenue,2440
Meadow Green Circle,4949
Camulos Street,1367
Esperanza Street,2952
Castro Drive,1485
L Street,4244
San Dieguito Lagoon Boardwalk,6931
Boyce Street,1001
Gale Avenue,3268
Sunglow Street,7891
Washington Street,8547
High Avenue,3735
East Mesquite Avenue,2609
Spyglass Ridge Road,7749
Lindsay Lane,4538
Ontario Drive,5919
North Tigertail Road,5723
Kellogg Avenue,4147
Yerba Anita Drive,9179
Ainsworth Street,208
Alley n/o Clark Avenue,286
61st Avenue,118
Mayflower Street,4891
Alex Drive,246
Culver Drive,2003
Felder Drive,3073
Faxon Avenue,3064
West Manchester Avenue,8832
Calle Mira Monte,1284
California Street,1257
Lunita Road,4697
Udall Street,8247
Allen Street,271
East Mayberry Avenue,2604
Broadway,1066
University Avenue,8257
Pomona Freeway,6335
Buena Vista Avenue,1134
East Wooley Road,2747
Kenova Street,4168
Stowe Lane,7839
West Manchester Boulevard,8833
Laurelei Avenue,4421
Washington Street,8547
State Street,7792
Graffian Street,3442
Coos Court,1829
North 10th Street,5424
Carfax Avenue,1407
Neptune Avenue,5346
South Shawnee Drive,7618
North Bond Avenue,5469
West 28th Street,8621
East 124th Street,2324
Airport Drive,213
Cabrillo Avenue,1214
Branch Street,1023
Pine Street,6241
San Lucas Street,6960
North Waterman Avenue,5734
Davis Road,2075
Sea Cliff Avenue,7102
East Cypress Street,2478
Llevarancho Road,4563
Gazdar Court,3313
West Monterey Avenue,8849
Work Street,9151
Jefferson Avenue,4027
Paramount Boulevard,6062
Garland Drive,3296
Vogel Avenue,8496
Avenida Simi,558
Kennedy Memorial Drive,4162
West Garvey Avenue South,8755
1st Street,41
Stockton Boulevard,7824
Yellowstone Drive,9177
Midvale Avenue,5044
SDGE Service Road,6850
Bergantin,811
North Tigertail Road,5723
Seven Hills Road,7145
Enadia Way,2925
South Barcelona Street,7383
Broadfork Circle,1065
Bear Avenue,745
166th Street,29
Yale Court,9169
East Carter Avenue,2448
Edgar Avenue,2775
West 7th Street,8646
Poplar Street,6347
Fairfield Lane,3000
North A Street,5435
Martin Canyon Creek Trail,4850
Cody Court,1745
8 1/2 Avenue,135
East 6th Street,2360
Heath Avenue,3668
Weepinggate Lane,8576
South Stockton Street,7636
Corwin Court,1871
Louise Avenue,4675
Nina Way,5390
Stadium Park Road,7753
Paulson Road,6144
Ocean Avenue,5834
McAllister Street,4906
Slauson Avenue,7313
San Carlos Street,6924
Lassen Street,4403
Vail Avenue,8275
Lake Merced Bike Path,4327
Primrose Avenue,6398
Haley Street,3565
Chrisanta Drive,1629
East Tulare Avenue,2728
Valle Vista Road,8292
Water Avenue,8549
Morey Drive,5204
North First Street,5528
Westwood Boulevard,8986
Manzanita Avenue,4785
Toni Lane,8119
Mendocino Street,4988
East Shields Avenue,2706
Aviation Way,610
Truckee River Legacy Trail,8191
Parkmont Drive,6095
West Griffith Way,8765
Parmelee Avenue,6102
Via Sonoma,8413
Harbison Road,3594
Esmeralda Avenue,2950
Chere Drive,1588
Pepper Drive,6188
Lavenir Road,4427
Old Auburn Road,5857
East Valley Boulevard,2732
Tulane Road,8204
Terrace Way,8040
West Dana Street,8731
Venado Way,8337
Grand Avenue,3451
Norwood Avenue,5765
Midvale Place,5045
McKinney Way,4933
S Street,6846
Beach Boulevard,736
Bonita Street,968
North 3rd Street,5430
Arboga Road,426
University Avenue,8257
South Grand Avenue,7479
Avenue 53,600
Xeno Place,9166
Railroad Canyon Road,6465
1st Street,41
Effie Street,2805
North Citrus Avenue,5488
North Cedar Street,5483
James Lick Freeway,4007
Meyer Road,5025
South Manhattan Place,7543
Purdue Avenue,6430
South West Street,7672
1st Street,41
South Bedford Street,7390
Southwood Drive,7702
Gamma Street,3277
Whiskeytown-Shasta-Trinity Nra,8995
Santa Fe Grade,7021
Throne Street,8084
West 66th Street,8643
Charae Street,1567
Dalerose Avenue,2038
Fairview Road,3019
West 1st Avenue,8608
Skyview Way,7306
Houston Avenue,3849
Bunnell Road,1144
Susanville Road,7930
County Road 33,1908
Meadowbrook Lane,4953
Lucile Avenue,4689
Power Street,6377
Borson Street,980
1st Street,41
Sierra Court,7235
1st Street,41
East Devonshire Avenue,2484
West Tulare Avenue,8938
South San Pedro Street,7614
Brady Circle,1015
Baywood Glen Trail,735
Harle Avenue,3607
Malarin Avenue,4756
Center Drive,1519
Keswick Street,4177
Lemen Avenue,4463
Telegraph Road,8018
White Wing Lane,9004
Cortland Avenue,1868
Edinger Avenue,2792
Hamilton Avenue,3576
Garibaldi Place,3295
Pinnacle Ridge Road,6254
Dannen Drive,2046
South San Lorenzo Avenue,7613
Santa Ana Freeway,7005
Oxholm Street,5991
Boy Scout Road,999
Monte Vista Drive,5165
Fandor Road,3035
Beth Olam Gate,829
West 65th Street,8642
Ruble Road,6822
Vaseline alley,8330
East 95th Street,2367
San Vincente Avenue,6985
Edinger Avenue,2792
Foster Road,3195
Levee Road,4484
Lakeview Drive,4345
Valencia Gallop Trail,8280
I 110 North,3896
Lawrence Street,4429
Quill Drive,6451
West Cook Street,8720
Adams Road,185
Davis Street,2076
East Shasta Street,2704
Soccer Park Access Road,7328
Santa Florita Avenue,7026
18th Avenue,37
Alley 90370,281
Topsanna Road,8125
Road 220,6683
Dryden Place,2273
Glacier Circle,3356
Eye Street,2993
Carmel Avenue,1418
West Hellman Avenue,8779
Anastasia Lane,368
Jollo Creek Road,4072
Lewis Avenue,4486
North Linden Drive,5599
East J Street,2554
Oxnard Street,5992
Fillmore Street,3106
Santana Heights,7050
CA 78,1198
West Monte Avenue,8848
San Jose Way,6950
Cedar Lane,1507
Plainview Circle,6277
Perimeter Trail,6193
Park Street,6077
Canehill Avenue,1377
Via Marisol,8399
Westminster Place,8976
North Pacific Avenue,5649
1st Street,41
Fifth Street,3097
West Norman Avenue,8853
West 35th Street,8625
Grafton Avenue,3443
Scadlock Lane,7072
Market Street,4830
East Elder Street,2492
Hansen Avenue,3590
Willow Creek Road,9046
1st Street,41
Corte Maria Avenue,1862
Walnut Street,8520
North Lincoln Street,5597
Princeton Drive,6402
Saint Andrews Drive,6875
East Beverly Boulevard,2419
Grand Avenue,3451
Cumpston Street,2006
Gist Road,3354
Asti Road,512
West Linden Street,8812
G Street,3261
El Camino Real,2816
East 9th Avenue,2369
Bart Way,706
Eastwood,2764
East Poplar Street,2671
Larkspur Road,4384
South Doheny Drive,7445
Elm Avenue,2892
School Street,7085
Newport Boulevard,5372
South West Avenue,7671
1st Street,41
Elden Avenue,2861
West Valley Boulevard,8942
North Feland Avenue,5525
South Imperial Avenue,7504
Fulton Street,3257
Mesquite Road,5019
Indian Creek Trail,3926
Park Way,6081
Oakridge Drive,5818
Bernhard Avenue,821
South Falda Avenue,7460
Huston Street,3888
Bartel Street,707
1st Street,41
Road 128,6670
West Beacon Avenue,8680
Craner Avenue,1945
Browning Street,1095
North Valley Drive,5728
Adelia Court,191
West 6th Street,8644
Ridgecrest Street,6614
North Farrell Drive,5524
South Manhattan Place,7543
San Luis Court,6961
Clarkdale Avenue,1685
Jennifer Way,4034
Palm Avenue,6020
La Pala Court,4276
Greenwich Street,3510
Caledonian Street,1238
1st Street,41
Forest Route 6N45,3182
Malarin Avenue,4756
Sylvanwood Avenue,7965
30th Avenue,66
Perrymont Avenue,6199
East Erie Street,2495
South Normandie Avenue,7567
1st Street,41
Paradise Knoll,6057
Rosarita Drive,6775
Avenida Chapala,550
Boeing Avenue,948
Farm Lane,3043
Bandera Street,667
Minnesota Street,5092
North Macy Street,5604
Albright Avenue,234
Miralinda Drive,5105
San Tomas Aquino Creek Trail,6982
Maryland Avenue,4863
Salazar Drive,6888
Norvell Street,5760
Scott Avenue,7092
North Smith Avenue,5708
Vista Circle,8480
Albert Lane,229
Salt Creek Trail,6900
South Agate Street,7371
Willson Road,9056
East Las Virgenes Canyon Trail,2570
1st Street,41
West 134th Place,8594
Basque Drive,714
College Place,1771
North Ashley Lane,5446
Halifax Street,3568
West Keats Avenue,8796
Granada Drive,3448
South School Street,7616
Rogers Street,6746
Templeton Street,8024
Imperial Highway,3919
Santa Anita Circle,7009
Middle Ridge Fire Road,5038
East Moneta Avenue,2613
South Normandie Avenue,7567
West Standley Street,8921
Bechelli Lane,757
North Garfield Avenue,5544
Martin Luther King Junior Way,4854
Derwin Drive,2156
Grove Shafter Freeway,3531
Merritt Street,5007
Newcastle Road,5366
California Riding and HIking Trail,1255
Atwater Boulevard,527
Ruffin Trail,6823
Minnehaha Street,5091
Graves Avenue,3471
Coral Lane,1833
Deerpark Drive,2114
Old Mill Road,5870
Calaveras Court,1230
Oakway,5822
Robinwood Way,6710
East 77th Street,2363
Rocky Canyon Road,6736
Rose Drive,6781
Via Bello,8375
1st Street,41
Colpien,1781
Keswick Street,4177
Negley Drive,5340
West 48th Street,8634
Park Glen Drive,6070
Long Beach Boulevard,4614
East Placer Street,2664
Sequoyah View Drive,7132
Parkcrest Street,6084
1st Street,41
Crenshaw Boulevard,1959
Lampson Avenue,4353
Tuolumne Street,8214
Hagiwara Tea Garden Drive,3556
West Capitol Avenue,8702
Walnut Avenue,8516
Paramount Boulevard,6062
West Cook Street,8720
West Burdick Drive,8693
McCracken Road,4918
Sussex Place,7933
Monterey Street,5179
Garfield Avenue,3293
Folsom Boulevard,3156
Clement Avenue,1708
North Branciforte Avenue,5472
Hubbard Street,3858
Glenwood Court,3390
North Shoreline Boulevard,5704
South La Cienega Boulevard,7517
Castle Vista Drive,1482
Laguna Park Drive,4313
12th Avenue,13
Federal Avenue,3071
Ventura Boulevard,8340
Rialto Avenue,6590
Blue Spruce Drive,926
Westwood Drive,8987
Jerrold Avenue,4042
Green Oaks Drive,3487
Landfill Access,4359
Columbus Avenue,1788
Algerine Road,253
Maine Avenue,4752
18th Avenue,37
West 115th Street,8590
North San Fernando Boulevard,5693
Main Street,4751
1st Street,41
2nd Street,65
Santa Ana Freeway,7005
Cedarlane Drive,1511
Kansas Street,4120
5th Avenue,114
Degnan Boulevard,2119
Mission View Drive,5130
Millich Lane,5071
Santa Ana Freeway,7005
Franklin Avenue,3214
Whittier Boulevard,9015
1st Street,41
North California Street,5477
1st Street,41
Nightingale Avenue,5382
South Carondelet Street,7414
West Cedar Avenue,8709
Clayton Avenue,1699
Duran Street,2296
Albers Street,228
Hazeltine Avenue,3664
San Manuel Boulevard,6963
Atherton Circle,517
East 106th Street,2319
Foothill Boulevard,3162
Graham Street,3445
Rosehedge Drive,6785
East 115th Place,2321
East Ann Avenue,2383
South Crest Avenue,7436
Blosser Lane,905
North Goldenrod Avenue,5554
Otomi Avenue,5979
Omer Rains Coastal Bike Trail,5915
2nd Avenue,64
9 1/4 Avenue,145
Sunnydale Avenue,7898
South Hayes Avenue,7490
Magazine Street,4738
Rankin Drive,6507
Sardis Avenue,7058
Harding Avenue,3602
Faxon Avenue,3064
West Manchester Avenue,8832
Laurel Court,4416
Erie Street,2940
West Whittier Boulevard,8957
West Fern Drive,8745
Bloomfield Avenue,903
Morocco Drive,5213
Birch Drive,866
Dorothy Street,2242
Bobolink Road,942
Lowe Drive,4680
State Park Connector,7789
Verona Place,8363
San Carlos Street,6924
Manor Hill Road,4774
Olivia Terrace,5908
San Joaquin Avenue,6947
North Golden State Boulevard,5552
Avenue D,602
Travers Lane,8166
North Fonda Street,5531
Teak Street,8009
Stockton Boulevard,7824
1st Street,41
South Doheny Drive,7445
Alfadel Lane,249
San Francisco Bay Trail,6939
Westside Road,8981
West 18th Street,8606
South Stockton Avenue,7635
West San Joaquin Avenue,8903
34th Street 35th Street Alley,76
US 101,8242
Stockton Flats Road,7825
East Anaheim Street,2381
Bridge Creek Drive,1048
Civic Center Drive,1667
Foothill Boulevard,3162
West 6th Street,8644
Holly Court,3808
North Mariposa Avenue,5611
6S17,123
Oak Street,5799
Hume Lake Trail,3867
North Hicks Avenue,5569
Margo Drive,4807
Double Head Road,2248
Georgia Street,3332
El Camino Real,2816
Alta Lorraine Way,319
Old Yerba Buena Road,5892
Ramona Avenue,6483
Lenore Drive,4470
Los Angeles River Bike Path,4645
Purdue Avenue,6430
Bay Tree Lane,726
Langdon,4365
Nobel Drive,5398
Vincente Avenue,8458
Michigan Avenue,5035
Avenida Salvador,557
East Stuhr Road,2718
Prado Way,6384
Pocatello Court,6308
1st Street,41
North Riverside Drive,5681
Quill Drive,6451
Marge Feinberg Rim of the Valley Trail- Saddletree,4805
166th Street,29
West Broadway,8692
West Stevenson Street,8924
Normandie Avenue,5416
Edgewood Road,2790
Lincoln Road,4522
1st Street,41
North 3rd Street,5430
McBride Avenue,4908
South Kern Street,7513
Roosevelt Avenue,6766
Stanley Park Court,7770
South Union Avenue,7654
40th Street East,87
East Miner Avenue,2610
El Paraiso Drive,2842
Beach Boulevard,736
Candalero Trail,1374
Old Grand Street,5865
Deerwood Lane,2118
Merrill Drive,5004
Shafter Street,7164
Airport Way,215
Westview Place,8982
Quakertown Avenue,6439
3rd Avenue,83
Expo Bike Path,2992
Haida Road,3558
Mulford Road,5283
Saint Vladimir Street,6885
North Shasta Avenue,5703
Lincoln Boulevard,4520
South 10th Street,7352
Carrizal Street,1443
Flair Drive,3127
Quill Drive,6451
North Blackstone Avenue,5463
Laidley Street,4320
Plaza Escondido,6282
Hollis Street,3799
Judson Avenue,4096
Meadowview Road,4963
West 48th Street,8634
Ravenscourt Avenue,6520
Tilburg Drive,8096
Duray Place,2297
Zion Lane,9209
California Street,1257
Fairland Way,3007
North Tulip Street,5725
Fonthill Avenue,3161
Pacific Electric Trail,6003
Jefferson Drive,4028
Los Robles Trail,4661
South Broadway,7403
Spanish Bay Road,7705
4th Avenue,101
1st Street,41
Parkmont Circle,6094
Rock Oak Court,6717
Santa Maria Avenue,7033
South Carondelet Street,7414
Desert Poppy Lane,2164
Wiseburn Walking Path,9099
Compton Avenue,1798
East 66th Street,2357
Sylvanwood Avenue,7965
Borchard Road,976
West Alexandria Street,8653
West Orangethorpe Avenue,8863
Numancia Street,5769
North Nantucket Avenue,5637
Pine Avenue,6231
Ben Lomond Place,796
Requa Road,6577
Rocket Street,6726
East 17th Street,2332
East Huntington Avenue,2549
Leota Avenue,4477
Grand Avenue,3451
West 6th Street,8644
Garfield Avenue,3293
State Street,7792
North Barton Avenue,5456
Mayo Lane,4893
Huntington Drive,3876
Willow Street,9052
Finch Avenue,3108
Elkhorn Road,2882
Bush Street,1164
Rockdale Drive,6724
East Atherton Street,2390
Warden Avenue,8531
Upland Street,8261
El Camino Real,2816
Amys Street,362
East Artesia Boulevard,2388
Nido Drive,5381
Oakbrook Street,5805
